DienTich,Phongngu,SoTang,PhongTam,Loai,GiayTo,TinhTrangNoiThat,HuongCuaChinh,HuongBanCong,DacDiem
86.0,3.0,35.0,2.0,2,2,0,1,3,1
52.0,1.0,15.0,1.0,2,1,1,5,5,1
106.0,2.0,25.0,2.0,2,2,1,1,3,1
40.0,1.0,15.0,1.0,2,2,3,5,5,1
99.0,3.0,30.0,3.0,3,2,3,7,0,1
74.0,2.0,45.0,2.0,2,2,0,1,3,1
88.0,2.0,15.0,2.0,2,2,3,6,3,1
69.0,2.0,25.0,2.0,2,2,3,1,3,1
59.0,2.0,15.0,1.0,2,0,1,7,3,1
80.0,2.0,15.0,2.0,2,2,3,5,5,1
58.0,2.0,18.0,2.0,2,1,3,5,7,1
64.0,2.0,15.0,2.0,2,2,1,1,0,1
53.0,2.0,15.0,1.0,2,2,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,7,5,1
73.0,3.0,15.0,2.0,2,1,1,5,5,1
25.0,1.0,15.0,1.0,2,0,1,5,5,1
91.0,2.0,15.0,2.0,2,2,1,5,5,1
52.0,1.0,15.0,1.0,2,0,1,5,5,1
62.0,2.0,22.0,2.0,2,1,2,7,3,1
56.0,2.0,15.0,1.0,2,0,1,5,5,1
100.0,3.0,15.0,2.0,2,2,3,5,5,1
71.42,2.0,25.0,2.0,2,2,2,3,3,1
52.0,2.0,25.0,1.0,2,1,3,7,6,1
75.0,2.0,16.0,2.0,2,0,1,0,2,1
70.0,2.0,6.0,2.0,2,2,2,6,4,1
71.0,2.0,15.0,2.0,2,1,1,5,5,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
111.0,3.0,21.0,2.0,2,1,1,1,3,1
65.0,2.0,9.0,2.0,2,1,2,7,5,1
51.0,2.0,16.0,2.0,2,2,3,5,5,1
59.0,2.0,15.0,1.0,2,0,1,5,5,1
120.0,3.0,25.0,2.0,3,2,2,0,1,1
124.6,3.0,45.0,2.0,2,2,0,3,7,1
69.0,2.0,23.0,2.0,2,1,2,7,3,1
56.0,2.0,15.0,2.0,2,1,2,5,5,1
69.0,2.0,9.0,2.0,2,2,1,0,1,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
70.12,2.0,5.0,2.0,2,2,2,1,0,1
63.0,2.0,15.0,2.0,2,1,1,5,5,1
65.0,2.0,15.0,1.0,2,0,1,5,5,1
75.0,2.0,5.0,2.0,2,0,3,7,7,1
54.0,1.0,15.0,1.0,2,0,2,5,5,1
60.0,1.0,25.0,1.0,2,2,2,0,6,1
106.0,3.0,25.0,2.0,2,2,2,1,3,1
88.0,2.0,35.0,2.0,2,1,2,1,3,1
46.0,2.0,15.0,1.0,2,2,1,5,5,1
67.0,2.0,15.0,2.0,2,0,1,5,5,1
68.0,2.0,8.0,2.0,2,1,1,7,3,1
101.0,3.0,35.0,2.0,2,0,1,7,3,1
48.0,2.0,15.0,2.0,2,0,1,5,5,1
81.0,4.0,15.0,3.0,4,0,1,6,6,1
68.0,2.0,12.0,2.0,2,1,3,1,0,1
81.0,3.0,15.0,2.0,2,1,3,4,7,1
124.0,3.0,15.0,2.0,2,2,3,5,5,1
65.0,2.0,26.0,2.0,2,0,2,3,7,1
66.0,3.0,15.0,2.0,2,1,1,2,5,1
40.0,2.0,3.0,1.0,0,1,1,7,0,1
69.0,2.0,15.0,2.0,2,0,3,2,1,1
128.0,3.0,25.0,2.0,2,1,2,1,0,1
33.6,1.0,15.0,1.0,2,1,1,5,7,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
160.0,2.0,45.0,2.0,2,2,3,3,3,1
53.0,2.0,15.0,1.0,2,2,1,5,5,1
73.0,3.0,15.0,2.0,2,1,1,5,5,1
60.45,2.0,18.0,2.0,2,1,1,6,4,1
53.0,1.0,15.0,1.0,2,0,1,7,3,1
78.0,2.0,7.0,2.0,2,2,2,5,7,1
91.0,3.0,35.0,2.0,2,2,0,1,1,1
33.0,1.0,15.0,1.0,3,0,3,5,5,1
55.0,1.0,15.0,1.0,2,1,1,5,5,1
70.45,2.0,25.0,2.0,2,2,2,3,3,1
84.95,2.0,35.0,2.0,2,1,2,1,3,1
30.0,1.0,19.0,1.0,2,0,1,5,5,1
67.0,2.0,15.0,2.0,2,1,1,5,5,1
83.2,3.0,15.0,2.0,2,2,1,5,5,1
91.2,3.0,25.0,2.0,2,2,3,6,4,1
54.0,1.0,15.0,1.0,2,0,1,5,5,1
63.0,2.0,9.0,1.0,2,1,1,5,5,1
56.0,2.0,15.0,1.0,2,0,1,5,5,1
65.0,2.0,35.0,1.0,2,1,3,6,4,1
83.0,2.0,9.0,2.0,2,1,2,3,3,1
104.0,3.0,35.0,2.0,2,1,0,4,6,1
65.0,2.0,25.0,2.0,2,1,2,7,3,1
51.0,2.0,5.0,2.0,2,2,1,5,7,1
62.0,2.0,15.0,2.0,2,2,1,5,5,1
70.0,1.0,7.0,1.0,2,1,2,7,3,1
73.6,2.0,20.0,2.0,2,1,2,6,4,1
54.0,2.0,15.0,1.0,2,2,1,5,2,1
64.0,2.0,15.0,2.0,2,2,1,1,0,1
52.0,2.0,15.0,1.0,2,2,1,2,5,1
108.0,3.0,2.0,4.0,1,2,0,1,1,1
80.0,3.0,25.0,2.0,2,2,2,4,6,1
75.0,2.0,30.0,2.0,2,1,1,5,5,1
41.0,1.0,6.0,1.0,0,1,3,5,5,1
55.0,2.0,13.0,1.0,2,2,1,7,5,1
67.0,2.0,15.0,2.0,2,0,1,5,5,1
52.0,2.0,15.0,1.0,2,0,1,5,5,1
127.0,3.0,31.0,2.0,2,1,1,1,3,1
90.0,3.0,5.0,2.0,2,1,3,4,7,1
147.0,3.0,45.0,2.0,2,2,2,1,3,1
62.0,2.0,15.0,2.0,2,0,1,5,5,1
56.4,2.0,15.0,1.0,2,0,3,5,5,1
69.7,3.0,15.0,2.0,2,1,3,5,2,1
